id,norma,norma_completa,categoria,concepte,article,naturalesa,quantia,descompte,punts,proposta_retirada,pagina,font,estat,verificacio
sct-05-0-3,TRLSV,"Text refós de la Llei de trànsit, circulació de vehicles de motor i seguretat viària",General,"Comportar-se de manera que s’origina perill, perjudicis o molèsties innecessàries al medi ambient",10.1,L,100,50,0,,5,"Catàleg d’infraccions SCT, 20 de maig de 2026",assignació normativa revisada per pàgina i taula,estructural
sct-05-0-4,TRLSV,"Text refós de la Llei de trànsit, circulació de vehicles de motor i seguretat viària",General,Conduir un vehicle que porta mecanismes de detecció de radar o cinemòmetres,13.6,G,200,100,0,,5,"Catàleg d’infraccions SCT, 20 de maig de 2026",assignació normativa revisada per pàgina i taula,estructural
sct-05-0-6,TRLSV,"Text refós de la Llei de trànsit, circulació de vehicles de motor i seguretat viària",NORMES SOBRE DROGUES,Conduir un vehicle amb presència de drogues a l’organisme,14.1,MG,1000,500,0,,5,"Catàleg d’infraccions SCT, 20 de maig de 2026",assignació normativa revisada per pàgina i taula,estructural
sct-05-0-7,TRLSV,"Text refós de la Llei de trànsit, circulació de vehicles de motor i seguretat viària",NORMES SOBRE DROGUES,"Conduir una bicicleta/vehicle de mobilitat personal amb presència de drogues a l’organisme Atenció: en aquests casos, no comportarà la pèrdua de punts",14.1,MG,1000,500,0,,5,"Catàleg d’infraccions SCT, 20 de maig de 2026",assignació normativa revisada per pàgina i taula,estructural
sct-05-0-9,TRLSV,"Text refós de la Llei de trànsit, circulació de vehicles de motor i seguretat viària",NORMES SOBRE L’ALCOHOLÈMIA DELS MENORS,"Conduir un vehicle amb una taxa d'alcohol a la sang superior a 0 grams per litre, o d'alcohol en aire espirat superior a 0 mil·ligrams per litre Atenció: S’hi inclouen els conductors de bicicletes i vehicles de mobilitat personal que no tindran pèrdua de punts",14.1,MG,Veure barem,—,0,,5,"Catàleg d’infraccions SCT, 20 de maig de 2026",assignació normativa revisada per pàgina i taula,estructural
sct-05-0-10,TRLSV,"Text refós de la Llei de trànsit, circulació de vehicles de motor i seguretat viària",NORMES SOBRE L’ALCOHOLÈMIA DELS MENORS,"Conduir el vehicle ressenyat amb una llicència o un permís de conducció amb una taxa d'alcohol a la sang superior a 0 grams per litre, o d'alcohol en aire espirat superior a 0 mil·ligrams per litre. - reincident art. 80.2.a) TRLSV",14.1,MG,Veure barem,—,0,,5,"Catàleg d’infraccions SCT, 20 de maig de 2026",assignació normativa revisada per pàgina i taula,estructural
sct-05-0-12,TRLSV,"Text refós de la Llei de trànsit, circulació de vehicles de motor i seguretat viària",NORMES SOBRE L’ALCOHOLÈMIA DELS MENORS,Incomplir l'obligació de tot conductor de sotmetre's a les proves per a la detecció de la presència de drogues a l'organisme,14.2,MG,1000,500,0,,5,"Catàleg d’infraccions SCT, 20 de maig de 2026",assignació normativa revisada per pàgina i taula,estructural
sct-05-0-13,TRLSV,"Text refós de la Llei de trànsit, circulació de vehicles de motor i seguretat viària",NORMES SOBRE L’ALCOHOLÈMIA DELS MENORS,"Incomplir l'obligació de tot conductor de bicicletes/vehicle de mobilitat personal de sotmetre's a les proves per a la detecció de la presència de drogues a l'organisme Atenció: en aquests casos, no comportarà la pèrdua de punts",14.2,MG,1000,500,0,,5,"Catàleg d’infraccions SCT, 20 de maig de 2026",assignació normativa revisada per pàgina i taula,estructural
sct-05-0-14,TRLSV,"Text refós de la Llei de trànsit, circulació de vehicles de motor i seguretat viària",NORMES SOBRE L’ALCOHOLÈMIA DELS MENORS,No sotmetre's l'usuari de la via que ha comés una infracció a la normativa viària o que està implicat en un accident de trànsit a les proves per a la detecció de la presencia de drogues a l'organisme,14.2,MG,1000,500,0,,5,"Catàleg d’infraccions SCT, 20 de maig de 2026",assignació normativa revisada per pàgina i taula,estructural
sct-05-0-15,TRLSV,"Text refós de la Llei de trànsit, circulació de vehicles de motor i seguretat viària",NORMES SOBRE L’ALCOHOLÈMIA DELS MENORS,"Incomplir l'obligació de sotmetre's a les proves per a la detecció de la presència de drogues a l'organisme, el conductor d'un vehicle implicat en un accident de trànsit",14.2,MG,1000,500,0,,5,"Catàleg d’infraccions SCT, 20 de maig de 2026",assignació normativa revisada per pàgina i taula,estructural
sct-05-0-16,TRLSV,"Text refós de la Llei de trànsit, circulació de vehicles de motor i seguretat viària",NORMES SOBRE L’ALCOHOLÈMIA DELS MENORS,"Incomplir l'obligació de sotmetre's a les proves per a la detecció de la presència de drogues a l'organisme, el conductor d'un vehicle denunciat per cometre alguna infracció a la normativa viària",14.2,MG,1000,500,0,,5,"Catàleg d’infraccions SCT, 20 de maig de 2026",assignació normativa revisada per pàgina i taula,estructural
sct-05-0-17,TRLSV,"Text refós de la Llei de trànsit, circulació de vehicles de motor i seguretat viària",NORMES SOBRE L’ALCOHOLÈMIA DELS MENORS,"Incomplir l'obligació de sotmetre's a les proves per a la detecció de la presència de drogues a l'organisme, el conductor d'un vehicle requerit en un control preventiu",14.2,MG,1000,500,0,,5,"Catàleg d’infraccions SCT, 20 de maig de 2026",assignació normativa revisada per pàgina i taula,estructural
sct-05-0-19,TRLSV,"Text refós de la Llei de trànsit, circulació de vehicles de motor i seguretat viària",NORMES SOBRE L’ALCOHOLÈMIA DELS MENORS,No sotmetre's l'usuari de la via que ha comés una infracció a la normativa viària a les proves de detecció alcohòlica,14.2,MG,1000,500,0,,5,"Catàleg d’infraccions SCT, 20 de maig de 2026",assignació normativa revisada per pàgina i taula,estructural
sct-05-0-20,TRLSV,"Text refós de la Llei de trànsit, circulació de vehicles de motor i seguretat viària",NORMES SOBRE L’ALCOHOLÈMIA DELS MENORS,"Incomplir l’obligació de pagar el peatge, taxa o preu públic exigible",75.B),L,100,50,0,,5,"Catàleg d’infraccions SCT, 20 de maig de 2026",assignació normativa revisada per pàgina i taula,estructural
sct-06-0-1,TRLSV,"Text refós de la Llei de trànsit, circulació de vehicles de motor i seguretat viària",NORMES DE COMPORTAMENT EN LA CIRCULACIÓ,"Utilitzar, mantenint-lo amb la mà, dispositius de telefonia mòbil mentre es condueix",76.G),G,200,100,6,,6,"Catàleg d’infraccions SCT, 20 de maig de 2026",assignació normativa revisada per pàgina i taula,estructural
sct-06-0-2,TRLSV,"Text refós de la Llei de trànsit, circulació de vehicles de motor i seguretat viària",NORMES DE COMPORTAMENT EN LA CIRCULACIÓ,"Utilitzar, mantenint-lo ajustat entre el casc i el cap, un dispositiu de telefonia mòbil mentre es condueix",76.G),G,200,100,3,,6,"Catàleg d’infraccions SCT, 20 de maig de 2026",assignació normativa revisada per pàgina i taula,estructural
sct-06-0-3,TRLSV,"Text refós de la Llei de trànsit, circulació de vehicles de motor i seguretat viària",NORMES DE COMPORTAMENT EN LA CIRCULACIÓ,"No respectar els senyals o les ordres de l’autoritat encarregada de la regulació, ordenació, gestió, vigilància i disciplina del trànsit",76.J),G,200,100,4,,6,"Catàleg d’infraccions SCT, 20 de maig de 2026",assignació normativa revisada per pàgina i taula,estructural
sct-06-0-4,TRLSV,"Text refós de la Llei de trànsit, circulació de vehicles de motor i seguretat viària",NORMES DE COMPORTAMENT EN LA CIRCULACIÓ,Incomplir l’obligació de tot conductor de verificar que les plaques matrícules del vehicle no presenten obstacles que impedeixen o dificultin la seva lectura e identificació,76.P),G,200,100,0,,6,"Catàleg d’infraccions SCT, 20 de maig de 2026",assignació normativa revisada per pàgina i taula,estructural
sct-06-0-5,TRLSV,"Text refós de la Llei de trànsit, circulació de vehicles de motor i seguretat viària",NORMES DE COMPORTAMENT EN LA CIRCULACIÓ,Circular per una via subjecta a restriccions de circulació derivades de l’aplicació de protocols d’episodis de contaminació o per raons de zones de baixes emissions,76.Z3),G,200,100,0,,6,"Catàleg d’infraccions SCT, 20 de maig de 2026",assignació normativa revisada per pàgina i taula,estructural
